GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-GUI-calculator,otherclasses,Calculator,0,19,0,0,0,5,0,5,0,5
project-GUI-calculator,gui,MainFrame.new ActionListener() {...},40,0,0,0,7,0,2,0,2,0
project-GUI-calculator,gui,MainFrame.new ActionListener() {...},40,0,0,0,7,0,2,0,2,0
project-GUI-calculator,gui,MainFrame.new ActionListener() {...},40,0,0,0,7,0,2,0,2,0
project-GUI-calculator,gui,MainFrame.new ActionListener() {...},40,0,0,0,7,0,2,0,2,0
project-GUI-calculator,gui,MainFrame,273,0,0,0,51,0,3,0,3,0
project-GUI-calculator,gui,MainFrame.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
